Type,Context Type,Question
General,Full Context,We’re a fashion retailer launching a back-to-school collection. Suggest integrated campaign ideas for Instagram, TikTok, and email.
General,Full Context,We’re a SaaS startup with a new integration. Suggest ways to educate users and drive adoption.
General,Full Context,We’re a local retailer with a new loyalty app. Suggest ways to promote downloads and ongoing use.
General,Full Context,We’re a B2B software company attending a major trade show. Suggest pre-event, at-event, and post-event marketing ideas.
General,Full Context,We’re a fitness studio launching a “bring a friend free” week. Suggest ways to maximize participation.
General,Full Context,We’re an e-commerce brand with a new ambassador program. Suggest ways to recruit and activate ambassadors.
Marketing Planning,Without Context,Create a marketing plan for a product launch.
Marketing Planning,Without Context,Develop a 3-month content calendar.
Marketing Planning,Without Context,Outline a campaign strategy for a new service.
Marketing Planning,Without Context,Build a timeline for a holiday marketing campaign.
Marketing Planning,Without Context,Create a multi-channel campaign plan.
Marketing Planning,Without Context,Write a strategy for boosting email signups.
Marketing Planning,Without Context,Develop a plan for influencer marketing.
Marketing Planning,Without Context,Make a checklist for launching a referral program.
Marketing Planning,Without Context,Build a marketing plan for a B2B event.
Marketing Planning,Without Context,Outline steps for a successful rebranding.
Marketing Planning,Without Context,Create a launch plan for a new app.
Marketing Planning,Without Context,Develop a calendar for weekly blog posts.
Marketing Planning,Without Context,Write a plan for a seasonal sales campaign.
Marketing Planning,Without Context,Create a roadmap for expanding into a new market.
Marketing Planning,Without Context,Develop a strategy for increasing webinar attendance.
Marketing Planning,Without Context,Build a plan for launching a loyalty program.
Marketing Planning,Without Context,Write a plan for a user-generated content campaign.
Marketing Planning,Without Context,Develop a strategy for growing a podcast audience.
Marketing Planning,Without Context,Outline a plan for a virtual event.
Marketing Planning,Without Context,Create a marketing plan for a B2C product.
Marketing Planning,Without Context,Build a content calendar for Instagram.
Marketing Planning,Without Context,Write a plan for a flash sale campaign.
Marketing Planning,Without Context,Develop a strategy for PR outreach.
Marketing Planning,Without Context,Create a plan for a referral contest.
Marketing Planning,Without Context,Build a marketing plan for a nonprofit fundraiser.
Marketing Planning,Without Context,Write a plan for an influencer gifting campaign.
Marketing Planning,Without Context,Develop a calendar for email marketing.
Marketing Planning,Without Context,Create a plan for a product restock campaign.
Marketing Planning,Without Context,Build a strategy for a back-to-school campaign.
Marketing Planning,Without Context,Outline a plan for a store grand opening.
Marketing Planning,Light Context,We’re launching a fitness app next month. Outline a 4-week campaign plan.
Marketing Planning,Light Context,Our retail store wants to run a summer sale. Build a timeline and content calendar.
Marketing Planning,Light Context,We want to boost our YouTube channel. Develop a 2-month strategy.
Marketing Planning,Light Context,Our SaaS tool is releasing a major update. Create a multi-channel launch plan.
Marketing Planning,Light Context,We’re hosting a charity gala. Develop a marketing plan to maximize attendance.
Marketing Planning,Light Context,We want to increase newsletter subscribers. Outline a campaign strategy.
Marketing Planning,Light Context,Our agency is rebranding. Create a plan for announcement and rollout.
Marketing Planning,Light Context,We’re launching a new skincare product. Build a 6-week marketing calendar.
Marketing Planning,Light Context,Our B2B company is attending a trade show. Develop a pre- and post-event plan.
Marketing Planning,Light Context,We want to run a referral contest. Make a step-by-step campaign plan.
Marketing Planning,Light Context,Our restaurant is launching a brunch menu. Build a campaign plan for the first month.
Marketing Planning,Light Context,We’re a SaaS startup with a new feature. Create a 30-day adoption plan.
Marketing Planning,Light Context,We want to launch a podcast. Develop a content and promotion calendar.
Marketing Planning,Light Context,Our e-commerce brand is running a holiday sale. Build a 3-week campaign timeline.
Marketing Planning,Light Context,We’re planning a virtual summit. Outline a marketing and content plan.
Marketing Planning,Light Context,Our fashion brand is collaborating with an artist. Develop a launch campaign plan.
Marketing Planning,Light Context,We want to grow our LinkedIn following. Build a content calendar and engagement plan.
Marketing Planning,Light Context,We’re a B2B SaaS company launching a whitepaper. Create a distribution and promotion plan.
Marketing Planning,Light Context,We want to increase app downloads. Develop a multi-channel campaign plan.
Marketing Planning,Light Context,Our gym is reopening after renovations. Build a 2-week marketing plan.
Marketing Planning,Light Context,We’re launching a new loyalty program. Create a rollout and engagement strategy.
Marketing Planning,Light Context,We want to expand into a new city. Build a market entry marketing plan.
Marketing Planning,Light Context,Our nonprofit is running a Giving Tuesday campaign. Outline a 1-month plan.
Marketing Planning,Light Context,We’re a SaaS company launching a referral program. Build a 3-step campaign plan.
Marketing Planning,Light Context,Our pet store is running an adoption event. Develop a marketing calendar.
Marketing Planning,Light Context,We want to increase webinar signups. Build a 4-week email and social plan.
Marketing Planning,Light Context,Our e-commerce brand is launching a subscription box. Create a launch and retention plan.
Marketing Planning,Light Context,We’re attending an industry conference. Build a plan for lead generation before, during, and after the event.
Marketing Planning,Full Context,We’re a DTC beverage brand launching a new sparkling water line in 3 months. Develop a comprehensive marketing plan including pre-launch teasers, influencer outreach, retail partnerships, and digital ad campaigns. Include a timeline and KPIs.
Marketing Planning,Full Context,We’re a SaaS company with a new HR tool for small businesses. Build a 90-day go-to-market plan with content, webinars, paid ads, and sales enablement materials. Include key milestones and metrics.
Marketing Planning,Full Context,Our non-profit is planning a Giving Tuesday campaign. Develop a detailed multi-channel marketing plan covering email, social, press, and local partnerships. Include a content calendar and engagement goals.
Marketing Planning,Full Context,We’re a restaurant chain launching a plant-based menu. Create a 2-month campaign plan with influencer tastings, press outreach, and in-store promotions. Include a timeline and expected outcomes.
Marketing Planning,Full Context,We’re an e-commerce store launching a subscription box for pet toys. Develop a 6-week launch plan covering influencer marketing, email, paid social, and unboxing video campaigns. Include KPIs for each channel.
Marketing Planning,Full Context,We’re a B2B agency rebranding and relaunching our website. Build a phased marketing plan including teaser content, launch day activities, and post-launch follow-up. Include a detailed timeline.
Marketing Planning,Full Context,We’re a travel agency specializing in adventure tours. Develop a 3-month seasonal campaign plan for spring, including blog content, Instagram Reels, and partnerships with travel influencers.
Marketing Planning,Full Context,We’re a SaaS startup launching an AI-powered analytics tool. Create a go-to-market strategy with webinars, email sequences, and LinkedIn outreach. Include a content calendar and lead gen targets.
Marketing Planning,Full Context,We’re a retail brand opening a new flagship store. Build a launch campaign plan covering PR, influencer events, local advertising, and post-launch follow-up. Include a week-by-week timeline.
Marketing Planning,Full Context,We’re a B2B software company exhibiting at a major industry conference in 2 months. Develop a pre-event, at-event, and post-event marketing plan, including outreach, booth engagement tactics, and lead nurturing steps.
Marketing Planning,Full Context,We’re a SaaS company launching a new integration. Build a 30-day campaign plan covering email, webinars, and partner marketing. Include KPIs.
Marketing Planning,Full Context,We’re a DTC apparel brand launching a limited collection. Create a 6-week campaign plan with influencer seeding, social teasers, and launch events.
Marketing Planning,Full Context,We’re a nonprofit with a 6-month fundraising goal. Develop a detailed marketing plan with monthly milestones and multi-channel tactics.
Marketing Planning,Full Context,We’re a B2B SaaS company launching a new customer success platform. Build a 90-day go-to-market plan with webinars, case studies, and targeted ads.
Marketing Planning,Full Context,We’re a local restaurant launching a weekend brunch. Create a 4-week marketing plan with email, social, and local PR.
Marketing Planning,Full Context,We’re a pet care brand launching in a new country. Build a 3-month market entry plan with influencer outreach and in-store activations.
Marketing Planning,Full Context,We’re a SaaS company with a new feature for enterprise users. Develop a campaign plan with account-based marketing, webinars, and email.
Marketing Planning,Full Context,We’re a B2B agency launching a thought leadership series. Build a 12-week content and promotion plan.
Marketing Planning,Full Context,We’re a fitness studio opening a new location. Create a 2-month launch plan with local events and digital ads.
Marketing Planning,Full Context,We’re an e-commerce brand with a new ambassador program. Develop a 3-month plan for recruitment, training, and activation.
Marketing Planning,Full Context,We’re a SaaS startup with a limited marketing team. Build a 90-day plan for content creation, distribution, and lead gen.
Marketing Planning,Full Context,We’re a local retailer launching a loyalty app. Develop a 6-week plan for app downloads and repeat purchases.
Marketing Planning,Full Context,We’re a B2B SaaS company hosting a virtual summit. Build a marketing plan for pre-event, live, and post-event engagement.
Marketing Planning,Full Context,We’re a travel agency launching a “mystery trip” offer. Create a 4-week campaign plan with teasers, influencer content, and email.
Marketing Planning,Full Context,We’re a DTC brand launching a holiday collection. Build a 2-month marketing plan with influencer partnerships and gift guides.
Marketing Planning,Full Context,We’re a B2B firm with a new whitepaper. Develop a 6-week campaign plan for lead gen, content, and follow-up.
Marketing Planning,Full Context,We’re a fitness app launching a New Year challenge. Create a 5-week plan for social, email, and partner marketing.
Marketing Planning,Full Context,We’re a SaaS company launching a freemium model. Build a 3-month campaign plan for user acquisition and upsell.
